year,course,number,hsc_mean,hsc_sd,hsc_max,hsc_p99,hsc_p90,hsc_p75,hsc_p50,hsc_p25,scaled_mean,scaled_sd,scaled_max,scaled_p99,scaled_p90,scaled_p75,scaled_p50,scaled_p25
2021,Japanese Extension,166,43.4,5.6,50.0,49.0,48.0,47.0,46.0,41.0,36.3,6.3,50.0,48.0,43.6,41.3,36.9,32.3
2021,Korean Beginners,110,41.0,5.0,49.5,49.0,47.5,44.5,41.5,38.0,25.7,10.2,48.4,46.7,40.2,32.6,25.5,18.0
2021,Korean in Context,42,45.3,3.6,49.0,49.0,49.0,47.5,46.0,44.5,27.2,10.5,47.4,47.4,43.2,34.6,25.6,20.8
2021,Latin Continuers,154,42.9,4.7,49.0,49.0,47.5,46.5,44.5,40.0,40.8,7.5,50.0,49.9,47.7,46.0,43.1,37.8
2021,Latin Extension,101,45.8,4.8,50.0,50.0,50.0,49.0,48.0,45.0,41.4,7.5,50.0,50.0,48.1,46.2,44.0,38.9
2021,Modern Greek Beginners,69,43.9,5.8,49.5,49.5,49.0,48.0,46.0,41.5,28.4,12.2,50.0,50.0,43.3,37.3,29.5,19.1
2021,Modern Greek Continuers,53,43.0,3.8,49.5,49.5,48.0,46.0,42.5,40.0,28.5,11.1,50.0,50.0,44.2,37.7,26.5,20.0
2021,Spanish Beginners,275,39.1,6.7,49.5,48.5,46.5,44.5,40.5,35.5,24.3,11.4,49.7,46.3,39.7,33.8,24.7,15.5
2021,Spanish Continuers,155,39.1,4.3,47.5,46.5,44.5,42.5,39.5,36.5,25.7,10.8,50.0,47.1,40.4,33.8,25.9,19.8
2021,Spanish Extension,51,44.1,3.5,50.0,50.0,48.0,47.0,44.0,41.0,31.0,6.2,45.8,45.8,38.4,35.1,29.3,25.6
2021,Vietnamese Continuers,217,40.9,3.7,48.5,48.0,45.0,44.0,41.5,38.5,22.7,9.9,46.9,45.6,36.0,30.6,22.2,14.8
2021,Automotive Exam,219,34.0,5.2,47.5,46.0,40.5,38.0,34.0,30.5,14.0,8.8,35.7,34.8,27.2,21.3,11.9,6.8
2021,Business Services Exam,1276,36.6,5.8,48.0,46.5,43.5,40.5,37.0,33.0,19.3,10.6,44.7,42.5,34.6,26.3,18.2,11.1
2021,Construction Exam,1607,37.8,5.2,48.5,47.0,44.0,41.5,38.5,34.5,15.8,9.4,38.8,37.1,30.0,22.4,14.6,7.6
2021,Electrotechnology Exam,231,34.0,4.6,47.0,46.5,40.0,36.5,33.0,31.0,18.3,7.9,37.6,37.2,29.3,23.1,17.2,12.8
2021,Entertainment Industry Exam,827,39.6,4.8,49.0,47.0,45.0,43.0,40.0,37.0,20.8,9.5,44.1,40.7,33.1,27.3,20.2,13.1
2021,Financial Services Exam,111,36.7,4.9,48.0,47.5,44.5,40.5,36.0,33.0,26.8,9.7,50.0,49.4,42.8,34.1,25.3,19.0
2021,Hospitality Exam,4467,36.5,5.6,48.5,46.5,43.0,40.5,37.0,32.5,19.1,10.0,43.7,40.6,33.0,26.1,18.2,10.6
2021,Human Services Exam,673,35.4,3.8,44.5,43.5,40.0,38.0,35.5,33.0,20.4,9.7,43.8,42.5,34.0,27.3,19.7,12.6
2021,Information & Digital Technology Exam,418,36.7,4.7,48.5,45.5,42.5,39.5,37.0,34.0,21.5,9.5,44.7,41.7,35.1,27.9,20.8,14.0
2021,Primary Industries Exam,526,37.1,4.7,47.0,46.5,42.5,40.0,37.0,34.5,18.0,9.8,41.8,40.4,31.5,25.3,16.5,10.1
2021,Retail Services Exam,776,33.8,5.4,46.0,44.5,39.5,37.5,34.5,31.0,16.4,10.8,43.0,41.9,33.1,24.6,14.4,7.8
2021,"Tourism, Travel & Events Exam",133,37.2,3.7,45.5,45.0,41.0,39.5,37.5,35.5,21.5,9.9,44.7,43.6,33.6,27.9,20.7,14.0
